idx,x,type,high,open,close,low
333,653,bear,1408.48,1408.48,1368.17,1368.17
334,654,bear,1448.80,1448.80,1393.82,1393.82
335,658,bear,1408.48,1408.48,1368.17,1368.17
336,660,bear,1366.34,1366.34,1239.90,1239.90
337,664,bear,1391.99,1391.99,1329.69,1329.69
338,665,bear,1366.34,1366.34,1239.90,1239.90
339,666,bear,1221.58,1221.58,1155.61,1155.61
340,668,bear,1250.90,1250.90,1197.76,1197.76
341,670,bear,1221.58,1221.58,1155.61,1155.61
342,672,bear,1157.45,1157.45,1142.79,1142.79
343,673,bear,1250.90,1250.90,1197.76,1197.76
344,675,bear,1285.71,1285.71,1144.62,1144.62
345,676,bear,1157.45,1157.45,1142.79,1142.79
346,678,bear,1139.12,1139.12,1043.84,1043.84
347,680,bear,1285.71,1285.71,1144.62,1144.62
348,682,bear,1139.12,1139.12,1043.84,1043.84
349,683,bull,1212.42,1197.76,1212.42,1197.76
350,684,bear,1053.00,1053.00,1032.84,1032.84
351,688,bull,1212.42,1197.76,1212.42,1197.76
352,690,bull,1054.83,1025.51,1054.83,1025.51
353,694,bull,1054.83,1025.51,1054.83,1025.51
354,696,bear,1056.66,1056.66,1020.02,1020.02
355,700,bear,1056.66,1056.66,1020.02,1020.02
356,702,bear,1014.52,1014.52,965.04,965.04
357,705,bear,1283.88,1283.88,1272.89,1272.89
358,706,bear,1014.52,1014.52,965.04,965.04
359,708,bull,1027.35,983.37,1027.35,983.37
360,710,bear,1283.88,1283.88,1272.89,1272.89
361,712,bull,1027.35,983.37,1027.35,983.37
362,713,bear,1338.85,1338.85,1320.53,1320.53
363,714,bear,1053.00,1053.00,1014.52,1014.52
364,718,bear,1338.85,1338.85,1320.53,1320.53
365,720,bear,1331.52,1331.52,1291.21,1291.21
366,724,bear,1014.52,1014.52,1005.36,1005.36
367,725,bear,1331.52,1331.52,1291.21,1291.21
368,726,bull,1069.49,1025.51,1069.49,1025.51
369,728,bull,1368.17,1298.54,1368.17,1298.54
370,730,bull,1069.49,1025.51,1069.49,1025.51
371,732,bear,1071.32,1071.32,1051.17,1051.17
372,733,bull,1368.17,1298.54,1368.17,1298.54
373,736,bear,1071.32,1071.32,1051.17,1051.17
374,738,bear,1049.33,1049.33,1005.36,1005.36
375,742,bear,1049.33,1049.33,1005.36,1005.36
376,743,bear,1397.49,1397.49,1386.49,1386.49
377,744,bear,1005.36,1005.36,1001.69,1001.69
378,748,bear,1397.49,1397.49,1386.49,1386.49
379,750,bear,987.03,987.03,976.04,976.04
380,754,bear,987.03,987.03,976.04,976.04
381,756,bear,976.04,976.04,924.73,924.73
382,758,bear,1415.81,1415.81,1370.00,1370.00
383,760,bear,976.04,976.04,924.73,924.73
384,762,bear,924.73,924.73,891.75,891.75
385,763,bear,1415.81,1415.81,1370.00,1370.00
386,765,bull,1450.63,1417.65,1450.63,1417.65
387,766,bear,924.73,924.73,891.75,891.75
388,768,bear,911.91,911.91,878.92,878.92
389,770,bull,1450.63,1417.65,1450.63,1417.65
390,772,bear,911.91,911.91,878.92,878.92
391,773,bear,1454.29,1454.29,1327.86,1327.86
392,774,bull,908.24,878.92,908.24,878.92
393,778,bear,1454.29,1454.29,1327.86,1327.86
394,780,bull,1342.52,1337.02,1342.52,1337.02
395,784,bear,921.07,921.07,917.40,917.40
396,785,bull,1342.52,1337.02,1342.52,1337.02
397,788,bear,1329.69,1329.69,1318.70,1318.70
398,792,bear,911.91,911.91,899.08,899.08
399,793,bear,1329.69,1329.69,1318.70,1318.70
400,795,bull,1373.67,1322.36,1373.67,1322.36
401,796,bear,911.91,911.91,899.08,899.08
402,800,bull,1373.67,1322.36,1373.67,1322.36
403,803,bear,1397.49,1397.49,1340.69,1340.69
404,804,bear,904.58,904.58,900.91,900.91
405,808,bear,1397.49,1397.49,1340.69,1340.69
406,810,bear,1338.85,1338.85,1276.55,1276.55
407,814,bull,965.04,917.40,965.04,917.40
408,815,bear,1338.85,1338.85,1276.55,1276.55
409,816,bull,1025.51,999.86,1025.51,999.86
410,818,bear,1296.71,1296.71,1227.08,1227.08
411,820,bull,1025.51,999.86,1025.51,999.86
412,822,bull,1063.99,1045.67,1063.99,1045.67
413,823,bear,1296.71,1296.71,1227.08,1227.08
414,825,bear,1225.24,1225.24,1148.28,1148.28
415,826,bull,1063.99,1045.67,1063.99,1045.67
416,828,bear,1071.32,1071.32,1027.35,1027.35
