date,open,high,low,close,type
2022-12-05,24916.55,25330.75,24881.65,25285.35,bull
2024-12-23,23738.2,23938.85,23647.2,23813.4,bull
2024-12-30,23796.9,24226.7,23460.45,24004.75,bull
2025-01-06,24045.8,24089.95,23344.35,23431.5,bear
2025-01-13,23195.4,23391.65,23047.25,23203.2,bull
2025-01-20,23290.4,23426.3,22976.85,23092.2,bear
2025-01-27,22940.15,23632.45,22786.9,23482.15,bull
2025-02-03,23319.35,23807.3,23222.0,23559.95,bull
2025-02-10,23543.8,23568.6,22774.85,22929.25,bear
2025-02-17,22809.9,23049.95,22720.3,22795.9,bear
2025-02-24,22609.35,22668.05,22104.85,22124.7,bear
2025-03-03,22194.55,22633.8,21964.6,22552.5,bull
2025-03-10,22521.85,22676.75,22314.7,22397.2,bear
2025-03-17,22353.15,23402.7,22353.15,23350.4,bull
2025-03-24,23515.4,23869.6,23412.2,23519.35,bull
2025-04-01,23341.1,23565.15,22857.45,22904.45,bear
2025-04-07,21758.4,22923.9,21743.65,22828.55,bull
2025-04-15,23368.35,23872.35,23207.0,23851.65,bull
2025-04-21,23949.15,24365.45,23847.85,24039.35,bull
2025-04-28,24070.25,24589.15,24054.05,24346.7,bull
2025-05-05,24419.5,24526.4,23935.75,24008.0,bear
2025-05-12,24420.1,25116.25,24378.85,25019.8,bull
2025-05-19,25005.35,25062.95,24462.4,24853.15,bear
2025-05-26,24919.35,25079.2,24677.3,24750.7,bear
2025-06-02,24669.7,25029.5,24502.15,25003.05,bull
2025-06-09,25160.1,25222.4,24473.0,24718.6,bear
2025-06-16,24732.35,25136.2,24703.6,25112.4,bull
2025-06-23,24939.75,25654.2,24824.85,25637.8,bull
2025-06-30,25661.65,25669.35,25331.65,25461.0,bear
2025-07-07,25450.45,25548.7,25129.0,25149.85,bear
2025-07-14,25149.5,25255.3,24918.65,24968.4,bear
2025-07-21,24999.0,25246.25,24806.35,24837.0,bear
2025-07-28,24782.45,24956.5,24535.05,24565.35,bear
2025-08-04,24596.05,24736.25,24337.5,24363.3,bear
2025-08-11,24371.5,24702.6,24347.45,24631.3,bull
2025-08-18,24938.2,25153.65,24852.85,24870.1,bear
2025-08-25,24949.15,25021.55,24404.7,24426.85,bear
2025-09-01,24432.7,24980.75,24432.7,24741.0,bull
2025-09-08,24802.6,25139.45,24751.55,25114.0,bull
2025-09-15,25118.9,25448.95,25048.75,25327.05,bull
2025-09-22,25238.1,25331.7,24629.45,24654.7,bear
2025-09-29,24728.55,24904.8,24587.7,24894.25,bull
2025-10-06,24916.55,25330.75,24881.65,25285.35,bull
2025-10-13,25177.3,25781.5,25060.55,25709.85,bull
2025-10-20,25824.6,26104.2,25718.2,25795.15,bear
2025-10-27,25843.2,26097.85,25711.2,25722.1,bear
2025-11-03,25696.85,25803.1,25318.45,25492.3,bear
2025-11-10,25503.5,26010.7,25449.25,25910.05,bull
2025-11-17,25948.2,26246.65,25856.2,26068.15,bull
2025-11-24,26122.8,26310.45,25842.95,26202.95,bull
2025-12-01,26325.8,26325.8,25891.0,26186.45,bear
2025-12-08,26159.8,26178.7,25693.25,26046.95,bear
2025-12-15,25930.05,26047.15,25726.3,25966.4,bull
2025-12-22,26055.85,26236.4,26008.6,26042.3,bear
2025-12-29,26063.35,26340.0,25878.0,26328.55,bull
2026-01-05,26333.7,26373.2,25623.0,25683.3,bear
2026-01-12,25669.05,25899.8,25473.4,25694.35,bull
2026-01-19,25653.1,25653.3,24919.8,25048.65,bear
2026-01-27,25063.35,25458.15,24571.75,24825.45,bear
2026-02-02,24796.5,26341.2,24679.4,25693.7,bull
2026-02-09,25888.7,26009.4,25444.3,25471.1,bear
2026-02-23,25678.4,25771.45,25141.3,25178.65,bear
2026-03-02,24659.25,24989.35,24305.4,24450.45,bear
2026-03-09,23868.05,24303.8,23112.0,23151.1,bear
2026-03-16,23116.1,23862.25,22930.35,23114.5,bear
2026-03-23,22824.35,23465.35,22471.25,22819.6,bear
2026-03-30,22549.65,22941.3,22182.55,22713.1,bull
2026-04-06,22780.3,24074.05,22542.95,24050.6,bull
2026-04-13,23589.6,24400.95,23555.6,24353.55,bull
2026-04-20,24391.5,24601.7,23813.65,23897.95,bear
2026-05-04,24063.55,24482.1,23882.05,24176.15,bull
