idx,x,type,high,open,close,low
406,868,bull,267.11,265.07,267.11,265.07
407,870,bull,267.79,267.25,267.79,267.25
408,875,bull,267.79,267.25,267.79,267.25
409,876,bull,260.32,259.37,260.32,259.37
410,878,bull,269.42,267.65,269.42,267.65
411,880,bull,260.32,259.37,260.32,259.37
412,882,bull,261.00,258.82,261.00,258.82
413,883,bull,269.42,267.65,269.42,267.65
414,885,bull,274.85,268.60,274.85,268.60
415,886,bull,261.00,258.82,261.00,258.82
416,888,bull,259.91,259.64,259.91,259.64
417,890,bull,274.85,268.60,274.85,268.60
418,892,bull,259.91,259.64,259.91,259.64
419,893,bull,278.66,274.85,278.66,274.85
420,894,bear,260.73,260.73,258.42,258.42
421,898,bull,278.66,274.85,278.66,274.85
422,900,bear,278.66,278.66,276.21,276.21
423,904,bear,257.87,257.87,255.70,255.70
424,905,bear,278.66,278.66,276.21,276.21
425,906,bear,252.71,252.71,246.87,246.87
426,908,bear,276.08,276.08,271.86,271.86
427,910,bear,252.71,252.71,246.87,246.87
428,912,bear,248.77,248.77,247.82,247.82
429,913,bear,276.08,276.08,271.86,271.86
430,915,bear,271.59,271.59,269.55,269.55
431,916,bear,248.77,248.77,247.82,247.82
432,918,bear,249.18,249.18,248.50,248.50
433,920,bear,271.59,271.59,269.55,269.55
434,922,bear,249.18,249.18,248.50,248.50
435,924,bull,248.09,247.41,248.09,247.41
436,928,bull,248.09,247.41,248.09,247.41
437,930,bear,268.60,268.60,267.52,267.52
438,934,bull,255.43,251.62,255.43,251.62
439,935,bear,268.60,268.60,267.52,267.52
440,936,bear,259.23,259.23,258.42,258.42
441,938,bull,269.42,268.20,269.42,268.20
442,940,bear,259.23,259.23,258.42,258.42
443,942,bear,257.60,257.60,256.65,256.65
444,943,bull,269.42,268.20,269.42,268.20
445,945,bear,269.83,269.83,268.60,268.60
446,946,bear,257.60,257.60,256.65,256.65
447,950,bear,269.83,269.83,268.60,268.60
448,953,bull,268.74,268.47,268.74,268.47
449,954,bull,259.50,255.29,259.50,255.29
450,958,bull,268.74,268.47,268.74,268.47
451,960,bear,271.05,271.05,263.71,263.71
452,964,bull,269.96,260.18,269.96,260.18
453,965,bear,271.05,271.05,263.71,263.71
454,966,bull,269.55,269.28,269.55,269.28
455,968,bull,264.12,262.08,264.12,262.08
456,970,bull,269.55,269.28,269.55,269.28
